workout_date,class_time,studio,coach,splat_points,calories,avg_hr,peak_hr,avg_pct_max_hr,peak_pct_max_hr,zone_gray_min,zone_blue_min,zone_green_min,zone_orange_min,zone_red_min,steps,class_type,template,is_forward,source_file,email_date_utc,note
2018-01-16,,,,39,977,162,,86.0,,2,1,15,20,19,,,2018-perfsummary,False,OTF_Data-2018.mbox,2018-01-16T22:30:02+00:00,
2018-01-25,,,,33,961,154,,82.0,,1,5,20,28,5,,,2018-perfsummary,False,OTF_Data-2018.mbox,2018-01-25T22:33:04+00:00,
2018-01-29,,,,34,924,157,,84.0,,3,2,17,23,11,,,2018-perfsummary,False,OTF_Data-2018.mbox,2018-01-29T16:30:12+00:00,
2018-02-01,,,,30,882,154,,82.0,,3,4,18,17,13,,,2018-perfsummary,False,OTF_Data-2018.mbox,2018-02-01T22:32:48+00:00,
2018-02-05,,,,27,866,155,,82.0,,0,5,22,20,7,,,2018-perfsummary,False,OTF_Data-2018.mbox,2018-02-05T22:30:15+00:00,
2018-02-08,,,,25,873,151,,80.0,,2,4,25,19,6,,,2018-perfsummary,False,OTF_Data-2018.mbox,2018-02-08T22:29:52+00:00,
2018-02-12,,,,27,939,155,,82.0,,1,4,27,19,8,,,2018-perfsummary,False,OTF_Data-2018.mbox,2018-02-12T22:32:14+00:00,
2018-02-20,,,,31,942,155,,82.0,,2,8,19,20,11,,,2018-perfsummary,False,OTF_Data-2018.mbox,2018-02-20T22:31:42+00:00,
2018-02-22,,,,32,837,156,,83.0,,1,5,15,27,5,,,2018-perfsummary,False,OTF_Data-2018.mbox,2018-02-22T22:30:48+00:00,
2018-02-26,,,,21,815,147,,78.0,,3,9,22,18,3,,,2018-perfsummary,False,OTF_Data-2018.mbox,2018-02-26T22:30:37+00:00,
2018-02-27,,,,26,878,150,,80.0,,5,6,21,19,7,,,2018-perfsummary,False,OTF_Data-2018.mbox,2018-02-27T22:29:29+00:00,
2018-03-01,,,,17,836,146,,78.0,,1,13,25,12,5,,,2018-perfsummary,False,OTF_Data-2018.mbox,2018-03-01T22:30:11+00:00,
2018-03-06,,,,20,806,147,,78.0,,3,10,22,17,3,,,2018-perfsummary,False,OTF_Data-2018.mbox,2018-03-06T15:10:16+00:00,
2018-03-08,,,,18,827,144,,76.0,,3,14,22,14,4,,,2018-perfsummary,False,OTF_Data-2018.mbox,2018-03-08T22:30:27+00:00,
2018-03-09,,,,13,777,136,,72.0,,9,16,20,10,3,,,2018-perfsummary,False,OTF_Data-2018.mbox,2018-03-09T22:34:02+00:00,
2018-03-12,,,,30,915,154,,82.0,,1,5,21,25,5,,,2018-perfsummary,False,OTF_Data-2018.mbox,2018-03-12T21:30:05+00:00,
2018-03-14,,,,27,877,155,,83.0,,1,6,19,16,11,,,2018-perfsummary,False,OTF_Data-2018.mbox,2018-03-14T21:27:16+00:00,
2018-03-20,,,,18,821,147,,78.0,,2,11,23,13,5,,,2018-perfsummary,False,OTF_Data-2018.mbox,2018-03-20T21:28:04+00:00,
2018-03-23,,,,19,812,145,,77.0,,3,10,23,18,1,,,2018-perfsummary,False,OTF_Data-2018.mbox,2018-03-23T21:28:03+00:00,
2018-03-28,,,,24,894,150,,80.0,,3,7,24,19,5,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-03-28T18:05:44-04:00,
2018-03-29,,,,24,894,150,,80.0,,3,7,24,19,5,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-03-29T00:43:45+00:00,
2018-04-02,,,,29,889,151,,81.0,,5,7,16,21,8,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-04-02T21:27:55+00:00,
2018-04-03,,,,6,752,139,,74.0,,5,14,29,6,0,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-04-03T21:26:41+00:00,
2018-04-05,,,,28,849,152,,81.0,,5,4,18,21,7,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-04-05T21:26:15+00:00,
2018-04-06,,,,20,811,147,,78.0,,2,12,20,16,4,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-04-06T15:29:47+00:00,
2018-04-09,,,,25,888,147,,78.0,,6,10,19,16,9,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-04-09T21:29:55+00:00,
2018-04-10,,,,13,744,137,,73.0,,8,15,19,7,6,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-04-10T21:27:27+00:00,
2018-04-13,,,,24,900,147,,78.0,,5,7,24,19,5,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-04-13T15:29:49+00:00,
2018-04-17,,,,17,815,145,,77.0,,4,8,26,17,0,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-04-17T21:25:30+00:00,
2018-04-19,,,,34,670,172,,84.0,,0,3,20,27,7,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-04-19T21:30:24+00:00,
2018-04-25,,,,32,922,156,,83.0,,1,4,20,25,7,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-04-25T21:27:53+00:00,
2018-04-27,,,,24,864,147,,78.0,,2,11,21,22,2,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-04-27T16:57:01+00:00,
